Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,White,Male,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,State-gov,Doctorate,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,Euro_1,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,White-Collar,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Bachelors,Separated,Other,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Sales,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,?,Dropout,Separated,?,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Other,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,Other,"More than $50,000"
Age <= 28.00,?,High School grad,Married,?,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Masters,Married,Professional,Wife,Black,Female,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Sales,Husband,Asian-Pac-Islander,Male,Low,None,Hours per week <= 40.00,SE-Asia,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Local-gov,Bachelors,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Bachelors,Married,Professional,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Separated,Other,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Federal-gov,High School grad,Never-Married,Admin,Own-child,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,South-America,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,?,"More than $50,000"
Age > 48.00,State-gov,High School grad,Married,Other,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,Masters,Separated,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Masters,Married,Professional,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,?,Dropout,Widowed,?,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Separated,Blue-Collar,Own-child,White,Female,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,Euro_1,"Less than $50,000"
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Widowed,Service,Not-in-family,White,Female,None,None,Hours per week > 45.00,British-Commonwealth,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,Asian-Pac-Islander,Male,None,None,Hours per week > 45.00,?,"More than $50,000"
37.00 < Age <= 48.00,?,High School grad,Married,?,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,High School grad,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Other,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
